source_id,facility_ids,publisher,source_type,source_date,url,supports,source_quality
SRC001,FAC001,H5 Data Centers,official facility sheet,2025,https://h5datacenters.com/Cleveland-slickFV.pdf,Address; 10 MW utility feeds; chilled-water system with economization,primary
SRC002,FAC001,H5 Data Centers,official website,2026-08-27 accessed,https://h5datacenters.com/,10+ MW Cleveland expansion advertised for Q1 2027,primary
SRC003,FAC002,DataBank,official facility page,,https://www.databank.com/data-centers/cleveland/1255-euclid-ave/,0.4 MW critical IT in raw research,primary
SRC004,FAC003,Cuyahoga County / Signal Cleveland,county recommendations PDF,,https://signalcleveland.org/wp-content/uploads/2026/06/Cuyahoga-County-Data-Center-recommendations.pdf,Rejected Slavic Village proposal,government/secondary host
SRC005,FAC004,Aligned Data Centers,official location page,,https://aligneddc.com/northeast-ohio-data-centers/,NEO-01 identity/location,primary
SRC006,FAC004,DataCenterMap,facility-specific secondary listing,2026 accessed,https://www.datacentermap.com/usa/ohio/cleveland/aligned-neo-01/specs/,96 MW fully built-out power; address,secondary
SRC007,FAC005,Perry Technology Park,developer Q&A,2026-05,https://perrytechnologypark.com/perry-resident-qa-response/,"Closed-loop cooling; 273,000 gpd maximum allocation; exact MW not yet determined",primary/developer
SRC008,FAC005,Perry Technology Park,developer project page,,https://perrytechnologypark.com/myth-vs-reality/,"Air/free cooling; closed loop; <275,000 gpd allocation framing; no well water",primary/developer
SRC009,FAC006,News 5 Cleveland,local reporting quoting developer,2026,https://www.news5cleveland.com/news/local-news/local-developer-global-tech-firm-plan-major-data-center-project-in-portage-county,Closed-loop cooling; 350 gpd first group of buildings; county water/sewer; no wells,secondary
SRC010,FAC008,Perry Township,official FAQ,2026-04,https://www.perrytwp.com/Documents/Departments/Administration/FAQs%20Data%20Center%20April%202026.pdf,Panattoni project context/capacity,government
SRC011,FAC008,Perry Township,official newsletter,2026-05,https://www.perrytwp.com/Documents/Departments/Administration/Newsletters/PerryNewsSpring_proof3.pdf,Panattoni project context,government
SRC012,FAC009,Viking Data Centers,official website,2026-08-27 accessed,https://www.vikingdata.io/,150 MW currently delivered; 250 MW future plan; address; water supply access,primary
SRC014,FAC011,Cogent,official facility sheet,2025,https://cogentco.com/files/docs/wholesale_colocation/Akron_Wholesale_2025.pdf,5 MW facility / 4.41 MW protected power,primary
SRC015,FAC012;FAC013;FAC014;FAC015,Signal Akron,local inventory/reporting,,https://signalakron.org/where-7-data-centers-operate-in-summit-county-and-why-it-matters/,Summit County operating-facility inventory and approximate MW values,secondary
SRC016,FAC018,SoftBank Group,official announcement,2025-09-24,https://group.softbank/en/news/press/20250924,Lordstown Stargate development; no standalone MW allocated in master,primary
SRC017,FAC019,The Vindicator,local reporting,2025-12,https://www.vindy.com/news/local-news/2025/12/ai-developers-zoning-suit-to-move-ahead/,"Bristolville 25 proposal, geography, $3.6B and 1.65m sq ft context",secondary
SRC018,FAC020,Bitdeer Technologies Group,Q2 2026 results,2026-08-10,https://ir.bitdeer.com/news-releases/news-release-details/bitdeer-reports-unaudited-financial-results-second-quarter-2026,Weathersfield: 300 MW grid-interconnected development site; Q4 2028; colocation/AI cloud,primary
SRC019,FAC020,City of Niles,City Council general consent agenda,2026-05-06,https://thecityofniles.com/councildocs/2026/Agenda/05062026%20General%20Consent%20Agenda.pdf,Closed-loop cooling; requested Niles municipal water; MVSD ultimate supply; recycled cooling water,government
SRC020,FAC021,Bitdeer Technologies Group,Q2 2026 results,2026-08-10,https://ir.bitdeer.com/news-releases/news-release-details/bitdeer-reports-unaudited-financial-results-second-quarter-2026,Massillon 174 MW online; 21/26 MW pipeline; crypto,primary
SRC021,FAC021,Ohio House Data Centers Committee testimony,written testimony,2026-06-11,https://search-prod.lis.state.oh.us/api/v2/general_assembly_136/committees/cmte_h_data_centers_1/meetings/cmte_h_data_centers_1_2026-06-11-1000_1440/testimony/15336/smytheandersonwrittenonly202606dpnohdatacenterstestimony.pdf,Massillon air cooling and water recirculation,official testimony
SRC022,FAC002,DataBank,official facility page,2026-08-27 accessed,https://www.databank.com/data-centers/cleveland/1255-euclid-ave/,0.4 MW critical IT load; N+1 cooling; air-cooled cabinet density,primary
SRC023,FAC007;FAC010,Ark Data Centers,official Ohio facilities page,2026-08-27 accessed,https://www.arkdna.com/data-centers/ohio/,Akron 5 MW utility power; Canton 1.5 MW utility power; CRAC cooling,primary
SRC024,FAC008,DEPLOY,sourced facility registry,2026-08-27,https://registry.deploy.report/datacenters/facilities/panattoni-perry-township-stark-oh,Planned status; 240 MW critical IT; Panattoni Development Company,secondary_sourced_registry
SRC025,FAC010,Ark Data Centers,official Akron facilities page/case study,2026-08-27 accessed,https://www.arkdna.com/data-centers/ohio/akron/,"Akron cooling systems: waterside economization, CRACs, DSE/EconoPhase; operator also documents DLC deployment in Akron",primary
SRC026,FAC011,Cogent,official Akron data center page,2026-08-27 accessed,https://support.cogentco.com/en/cogent-cleveland,"Akron address, 50,747 sq ft, HVAC environment; no detailed water/cooling disclosure",primary
SRC027,FAC013,DataCenterMap,facility-specific secondary listing,2026-08-27 accessed,https://www.datacentermap.com/usa/ohio/akron/level3-akron2/specs/,No capacity/power data supplied by Lumen; address supported on facility page,secondary
SRC028,FAC014,FairlawnGig,official colocation page,2026-08-27 accessed,https://www.fairlawngig.net/colocation-services/,Facility exists at 3300 Fairlawn Service Drive; climate-controlled environment; backup systems,primary
SRC029,FAC014,DataCenterMap,facility-specific secondary listing,2026-08-27 accessed,https://www.datacentermap.com/usa/ohio/akron/fairlawngig-service-center/specs/,No capacity/power data supplied by FairlawnGig,secondary
SRC030,FAC015,Greater Akron Chamber,business directory,2026-03-25,https://members.greaterakronchamber.org/Computers%2C-IT-Technology/Bay-Pointe-Tech-Services%2C-LLC-17301,Bay Pointe Tech Services identity/address; technical water/cooling/capacity values not established,secondary
SRC031,FAC016,DataCenter.fyi,Ohio public-record tracker,2026-08-27 accessed,https://www.datacenter.fyi/state/oh,Proposed Aligned Data Centers project in Twinsburg; FirstEnergy grid context,discovery_secondary
SRC032,FAC019,The Vindicator,local reporting quoting developer attorney,2026-01,https://www.vindy.com/news/local-news/2026/01/lordstown-oks-moratorium-on-data-centers/,Bristolville 25 attorney states project will not use public water,secondary
SRC033,FAC006,Ohio property/site-selection listing,site infrastructure record,2026-06 accessed,https://properties.zoomprospector.com/ohiolocal/property/4400-Beck-Road-Shalersville-township-Ohio/E6256B8B-C28A-4B4E-A001-D97834696741,4400 Beck Road water provider = Portage County Water Resources; 16-inch line; site water available,secondary_official_site_selection
SRC034,FAC004,Aligned Data Centers,official Northeast Ohio facility page,2026-08-27 accessed,https://aligneddc.com/northeast-ohio-data-centers/,NEO-01 cooling architecture: Delta3 air cooling arrays and secondary loops for DeltaFlow liquid cooling,primary
SRC035,FAC005,Perry Technology Park,developer project page,2026-08-27 accessed,https://perrytechnologypark.com/myth-vs-reality/,Bacon Road treatment facility serves Perry Village; 6 MGD design / ~3 MGD operating; project public-water context,primary_developer
SRC036,FAC006,News 5 Cleveland,local reporting on township meeting / site plan,2026-06,https://www.news5cleveland.com/news/local-news/oh-portage/data-center-discussion-spans-3-hours-as-shalersville-mulls-257-acre-project,"Total buildout capacity of 750 MW when fully completed (Phase 2 adds 12 data halls to Phase 1's 2), per site plan presented at June 16, 2026 Shalersville Township meeting",secondary
